order_id,user_id,order_timestamp,delivery_method,delivery_window
1,63,2023-11-01 17:10:44.969296,delivery,5pm-7pm
2,53,2024-06-08 18:49:22.504754,delivery,5pm-7pm
3,63,2024-04-24 13:28:46.927471,pickup,11am-1pm
4,38,2025-05-12 21:24:03.212843,pickup,3pm-5pm
5,22,2024-02-17 09:21:25.293020,delivery,9am-11am
6,74,2024-01-07 17:21:29.273179,delivery,9am-11am
7,98,2024-07-12 08:36:26.688931,pickup,5pm-7pm
8,14,2024-06-22 20:15:51.787636,pickup,3pm-5pm
9,5,2024-03-16 05:00:32.364433,delivery,9am-11am
10,57,2024-02-18 05:30:25.280820,pickup,11am-1pm
11,27,2025-06-23 20:30:40.877537,delivery,5pm-7pm
12,22,2024-07-14 08:32:55.352012,pickup,11am-1pm
13,8,2025-05-14 15:44:03.735538,delivery,11am-1pm
14,42,2024-09-24 14:35:51.106837,delivery,3pm-5pm
15,74,2023-10-01 19:12:20.119793,pickup,11am-1pm
16,97,2025-08-18 08:19:36.847728,pickup,3pm-5pm
17,84,2025-04-27 04:06:04.846163,pickup,11am-1pm
18,19,2025-07-27 05:42:44.939464,pickup,5pm-7pm
19,63,2025-07-02 02:50:51.352289,delivery,5pm-7pm
20,49,2025-05-04 10:02:50.360979,pickup,5pm-7pm
21,66,2023-12-19 06:40:07.368010,delivery,5pm-7pm
22,63,2024-08-14 09:19:50.064428,pickup,9am-11am
23,94,2024-01-22 21:45:02.655091,delivery,9am-11am
24,69,2024-06-10 15:07:26.331679,delivery,11am-1pm
25,64,2023-10-04 16:11:24.947045,delivery,3pm-5pm
26,71,2024-05-25 12:30:25.560112,delivery,3pm-5pm
27,88,2025-08-08 03:30:32.394875,pickup,9am-11am
28,81,2024-02-29 11:15:20.285034,delivery,9am-11am
29,16,2025-03-14 05:48:54.006100,pickup,5pm-7pm
30,59,2024-07-22 00:38:40.744814,delivery,11am-1pm
31,89,2024-06-23 15:59:21.156372,delivery,11am-1pm
32,36,2025-07-23 17:06:11.244301,delivery,3pm-5pm
33,11,2025-08-16 12:42:12.871685,pickup,9am-11am
34,51,2024-09-30 13:57:32.693839,pickup,5pm-7pm
35,84,2025-01-26 07:24:39.739490,pickup,9am-11am
36,28,2023-12-13 20:56:18.363686,pickup,11am-1pm
37,67,2024-03-24 11:13:08.969593,pickup,9am-11am
38,90,2025-07-28 00:41:10.067335,pickup,5pm-7pm
39,89,2024-10-20 16:08:12.302363,pickup,11am-1pm
40,50,2024-09-22 16:09:28.741078,pickup,9am-11am
41,41,2025-02-15 21:25:47.544228,delivery,11am-1pm
42,49,2023-09-30 14:26:01.092821,pickup,11am-1pm
43,9,2024-10-20 07:41:22.237716,pickup,11am-1pm
44,57,2024-08-25 22:50:12.351500,pickup,11am-1pm
45,53,2025-05-03 08:33:02.031270,delivery,11am-1pm
46,12,2023-12-12 19:07:10.016599,pickup,9am-11am
47,76,2025-07-21 05:44:39.987326,delivery,5pm-7pm
48,41,2023-10-17 08:27:03.335654,pickup,3pm-5pm
49,83,2024-01-07 12:33:04.938976,delivery,9am-11am
50,85,2024-10-27 05:54:47.234016,pickup,11am-1pm
51,96,2024-12-30 18:37:19.180917,pickup,11am-1pm
52,64,2024-02-07 13:40:13.065499,pickup,5pm-7pm
53,82,2023-11-18 09:18:41.514873,pickup,3pm-5pm
54,41,2025-05-31 18:43:54.476772,delivery,3pm-5pm
55,70,2024-02-17 14:35:27.415724,delivery,9am-11am
56,3,2024-10-30 20:52:25.051661,pickup,3pm-5pm
57,28,2024-11-20 00:27:43.619666,pickup,5pm-7pm
58,65,2024-06-22 21:43:06.860064,delivery,5pm-7pm
59,90,2024-10-21 22:50:11.630176,pickup,3pm-5pm
60,11,2024-09-07 12:03:04.434032,pickup,11am-1pm
61,69,2025-07-07 04:57:06.087952,pickup,3pm-5pm
62,90,2024-01-15 23:31:09.226041,pickup,9am-11am
63,32,2025-01-26 16:34:42.259390,delivery,9am-11am
64,59,2024-02-12 02:40:33.403387,pickup,3pm-5pm
65,86,2024-06-03 19:03:57.928818,pickup,9am-11am
66,2,2024-12-22 04:54:38.742531,pickup,11am-1pm
67,64,2024-03-25 20:50:48.817068,delivery,11am-1pm
68,48,2024-04-07 16:19:21.123258,delivery,9am-11am
69,99,2025-02-18 17:33:50.265561,delivery,5pm-7pm
70,35,2023-10-14 19:51:12.317312,delivery,9am-11am
71,64,2024-07-24 10:03:37.482599,delivery,9am-11am
72,64,2025-08-17 17:49:11.493571,pickup,3pm-5pm
73,21,2025-08-17 00:30:28.159117,pickup,9am-11am
74,30,2023-10-12 08:25:33.201196,pickup,9am-11am
75,2,2024-01-28 11:21:41.783307,delivery,3pm-5pm
76,50,2024-02-29 11:12:33.559137,pickup,9am-11am
77,71,2025-07-01 03:36:08.488819,delivery,11am-1pm
78,42,2025-05-25 21:38:18.162751,delivery,3pm-5pm
79,10,2025-05-24 17:42:45.733985,pickup,9am-11am
80,23,2024-05-20 15:00:45.540939,pickup,5pm-7pm
81,9,2023-12-13 00:37:21.210435,delivery,3pm-5pm
82,42,2025-04-20 12:06:34.779042,delivery,9am-11am
83,48,2025-01-19 10:55:03.155111,delivery,11am-1pm
84,60,2024-11-10 09:29:33.039867,delivery,11am-1pm
85,94,2025-08-09 13:13:16.789366,pickup,11am-1pm
86,1,2024-12-09 06:33:47.310651,pickup,11am-1pm
87,70,2023-08-26 13:57:32.014301,pickup,3pm-5pm
88,1,2025-04-07 08:33:45.010002,delivery,3pm-5pm
89,14,2024-03-25 10:00:49.658757,pickup,5pm-7pm
90,63,2024-12-16 03:28:06.030340,pickup,3pm-5pm
91,12,2025-07-07 06:57:06.207690,pickup,5pm-7pm
92,90,2023-11-25 21:40:42.167018,delivery,9am-11am
93,75,2023-11-12 03:12:30.100674,pickup,5pm-7pm
94,10,2023-11-11 00:10:06.186088,pickup,5pm-7pm
95,85,2024-09-26 17:22:34.477887,pickup,3pm-5pm
96,34,2024-03-05 16:26:19.447120,delivery,3pm-5pm
97,41,2024-11-09 09:30:59.850450,pickup,9am-11am
98,26,2025-01-27 17:27:48.867218,pickup,11am-1pm
99,14,2024-01-15 11:55:22.683117,delivery,3pm-5pm
100,53,2024-11-30 20:44:49.542800,delivery,11am-1pm
101,58,2024-03-04 13:53:45.643633,delivery,9am-11am
102,12,2024-08-12 11:58:33.978765,delivery,9am-11am
103,28,2025-06-10 18:23:36.165355,delivery,11am-1pm
104,12,2025-04-28 12:38:06.404933,delivery,5pm-7pm
105,66,2023-10-30 05:58:01.955578,delivery,3pm-5pm
106,23,2024-06-24 01:56:44.127139,delivery,5pm-7pm
107,72,2024-03-08 20:20:08.086378,pickup,9am-11am
108,60,2023-08-27 11:01:06.702145,pickup,9am-11am
109,2,2025-03-09 18:54:24.634294,pickup,11am-1pm
110,26,2024-11-26 23:07:27.933153,delivery,9am-11am
111,75,2024-03-03 02:21:15.312259,pickup,9am-11am
112,9,2025-02-16 23:15:48.851321,delivery,11am-1pm
113,12,2024-09-25 14:20:20.521284,delivery,9am-11am
114,6,2024-06-27 01:58:22.353949,pickup,11am-1pm
115,74,2023-08-27 22:18:40.293697,delivery,5pm-7pm
116,4,2023-10-14 19:10:13.742573,delivery,11am-1pm
117,46,2025-05-31 12:55:19.438227,pickup,3pm-5pm
118,36,2025-06-11 17:43:35.865426,pickup,9am-11am
119,79,2024-09-22 03:38:23.720771,pickup,3pm-5pm
120,64,2025-04-23 03:00:10.094251,delivery,9am-11am
121,12,2024-10-21 02:27:56.377644,pickup,5pm-7pm
