order_id,product_id,quantity,was_substituted
1,481,1,False
1,643,1,False
1,421,1,False
1,710,1,False
1,553,3,False
1,619,1,False
1,587,1,False
1,142,1,False
1,207,1,False
1,144,1,False
1,598,1,False
1,472,1,False
1,601,1,False
1,186,1,False
1,797,1,True
2,128,4,False
2,384,1,False
2,642,2,False
2,1,1,False
2,518,3,False
2,522,3,False
2,158,2,True
2,286,1,False
2,802,3,False
2,684,5,False
2,54,3,False
2,570,1,False
2,571,1,False
2,60,1,False
2,59,4,False
2,463,2,False
2,81,1,False
2,211,1,False
2,472,1,False
2,351,5,False
2,224,4,True
2,609,1,False
2,98,1,False
2,626,1,False
2,115,3,False
3,101,1,False
3,808,1,False
3,584,1,False
3,744,1,True
3,331,1,False
3,555,1,False
3,46,1,False
3,531,1,False
3,276,1,False
3,20,3,False
3,84,1,False
3,597,1,True
3,606,1,False
4,736,1,False
4,161,1,False
4,775,1,False
4,333,1,False
4,782,1,False
4,239,1,False
5,641,3,False
5,518,1,True
5,276,2,False
5,26,1,False
5,410,1,False
5,155,3,False
5,544,1,False
5,680,3,False
5,176,1,False
5,306,1,False
5,57,2,False
5,572,1,False
5,191,1,False
5,65,3,True
5,72,3,False
5,74,3,True
5,715,1,False
5,463,1,False
5,100,2,False
5,103,1,False
5,491,1,False
5,112,5,False
5,243,2,False
5,120,1,False
6,528,3,False
6,22,1,True
6,27,1,False
6,29,3,False
6,550,1,False
6,169,2,False
6,45,3,False
6,813,4,False
6,431,2,False
6,59,2,False
6,573,1,False
6,63,5,True
6,84,3,False
6,213,1,False
6,120,3,False
6,739,4,False
6,100,1,False
6,108,3,False
6,110,1,False
6,112,2,False
6,757,1,False
6,117,4,False
6,246,2,True
6,376,3,False
6,637,1,False
7,514,1,False
7,36,1,False
7,585,1,False
7,395,1,True
7,397,1,False
7,430,1,False
7,561,1,False
7,470,1,False
7,438,1,False
7,124,1,False
7,61,1,False
7,575,3,False
8,545,3,False
8,613,4,True
8,578,3,True
8,169,3,False
8,457,1,False
8,205,1,False
8,723,1,False
8,598,2,True
8,186,2,False
9,64,2,False
9,130,1,False
9,34,3,False
9,497,1,True
9,103,1,True
9,136,1,False
9,186,1,False
9,138,1,False
9,240,1,False
9,657,1,False
9,119,1,False
9,437,1,False
9,629,1,False
9,342,1,False
9,90,3,False
10,324,1,False
10,588,1,False
10,502,1,False
10,377,1,False
10,701,1,False
10,383,1,False
11,58,3,False
11,6,1,False
11,38,1,False
11,587,2,False
11,28,2,False
11,464,1,False
11,112,1,False
11,631,1,False
11,730,1,False
11,572,1,False
11,254,1,False
12,32,1,False
12,796,5,False
12,38,2,False
12,679,1,False
12,487,1,False
12,43,2,False
12,429,1,False
12,79,4,False
12,241,5,False
12,376,1,False
12,315,1,False
12,732,1,False
12,253,2,False
13,68,2,False
13,210,1,False
13,51,1,False
13,148,1,False
13,114,1,False
13,662,1,False
13,50,3,False
13,120,1,False
13,55,1,False
13,730,1,False
13,373,1,False
13,61,1,False
13,127,1,False
14,518,1,False
14,12,2,True
14,142,1,False
14,531,1,False
14,278,1,False
14,792,2,False
14,793,3,False
14,541,3,False
14,673,1,False
14,548,2,False
14,39,2,False
14,555,2,False
14,565,3,False
14,187,1,False
14,702,2,False
14,580,2,False
14,591,3,False
14,607,2,False
14,491,1,False
14,236,1,False
14,117,1,False
14,123,2,False
15,4,1,False
15,397,1,True
15,15,1,False
15,528,3,False
15,784,3,False
15,24,1,False
15,666,1,False
15,542,2,False
15,548,1,False
15,425,1,False
15,310,1,False
15,316,1,False
15,574,4,False
15,63,1,False
15,208,1,False
15,730,3,False
15,221,1,False
15,94,5,False
15,351,1,False
15,95,3,False
15,225,1,False
15,488,1,False
15,236,2,False
15,757,4,False
16,130,3,False
16,515,3,False
16,580,2,False
16,101,1,True
16,131,2,False
16,69,3,False
16,748,1,False
16,46,1,False
16,47,3,True
16,176,1,False
16,113,1,True
16,244,1,False
16,535,1,False
16,26,1,False
16,415,1,True
17,576,1,False
17,354,1,False
17,580,1,False
17,133,1,False
17,167,1,False
17,461,1,True
17,142,1,False
17,397,1,False
17,144,1,False
17,18,3,False
17,627,1,False
17,660,1,False
17,731,1,True
17,574,3,False
17,543,3,False
18,519,1,False
18,521,1,False
18,538,2,False
18,412,4,False
18,35,4,False
18,682,1,False
18,569,4,True
18,64,3,False
18,325,3,False
18,583,6,False
18,334,4,False
18,608,6,False
18,97,4,False
18,481,4,False
18,235,1,False
18,492,3,True
18,370,1,False
18,627,4,True
18,757,1,True
18,246,1,False
18,632,4,False
18,510,4,True
19,544,1,True
19,610,2,False
19,579,2,False
19,647,1,False
19,558,1,False
19,563,1,False
19,663,1,False
19,476,1,False
19,446,1,False
20,3,1,False
20,131,1,False
20,227,1,False
20,231,1,False
20,330,1,False
20,171,1,False
20,42,1,False
20,269,1,False
20,461,1,True
20,144,1,False
20,369,1,False
20,82,3,False
20,339,1,False
20,691,1,False
20,534,1,False
20,56,1,False
20,733,1,False
20,446,1,False
21,556,2,False
21,560,2,False
21,566,1,False
21,726,1,False
21,605,1,False
22,36,1,False
22,780,1,False
22,47,2,False
22,433,1,False
22,83,1,False
22,413,1,False
